İl,Yıl,Ay,Nem
,1990,1,80.4
,1990,2,81.6
,1990,3,78.7
,1990,4,83.3
,1990,5,84.7
,1990,6,78.1
,1990,7,83.9
,1990,8,82.0
,1990,9,82.7
,1990,10,83.7
,1990,11,76.5
,1990,12,79.8
,1991,1,81.7
,1991,2,80.7
,1991,3,86.1
,1991,4,84.1
,1991,5,79.4
,1991,6,86.1
,1991,7,84.7
,1991,8,81.9
,1991,9,84.0
,1991,10,82.4
,1991,11,82.5
,1991,12,81.9
,1992,1,77.0
,1992,2,78.5
,1992,3,79.8
,1992,4,78.3
,1992,5,85.4
,1992,6,80.3
,1992,7,84.0
,1992,8,83.8
,1992,9,80.1
,1992,10,76.4
,1992,11,73.5
,1992,12,78.2
,1993,1,79.4
,1993,2,78.8
,1993,3,75.9
,1993,4,78.6
,1993,5,85.3
,1993,6,75.1
,1993,7,79.9
,1993,8,84.5
,1993,9,79.0
,1993,10,80.6
,1993,11,78.3
,1993,12,73.7
,1994,1,79.0
,1994,2,75.7
,1994,3,72.4
,1994,4,74.4
,1994,5,77.6
,1994,6,74.5
,1994,7,75.7
,1994,8,72.8
,1994,9,79.7
,1994,10,80.8
,1994,11,79.2
,1994,12,79.2
,1995,1,75.5
,1995,2,74.3
,1995,3,73.3
,1995,4,76.0
,1995,5,74.1
,1995,6,80.6
,1995,7,79.4
,1995,8,74.6
,1995,9,73.1
,1995,10,81.2
,1995,11,76.1
,1995,12,76.4
,1996,1,84.2
,1996,2,81.4
,1996,3,85.7
,1996,4,82.7
,1996,5,79.5
,1996,6,77.0
,1996,7,77.7
,1996,8,82.1
,1996,9,76.7
,1996,10,82.2
,1996,11,75.8
,1996,12,77.6
,1997,1,81.5
,1997,2,70.5
,1997,3,70.2
,1997,4,73.3
,1997,5,76.2
,1997,6,77.5
,1997,7,76.6
,1997,8,86.6
,1997,9,87.3
,1997,10,86.0
,1997,11,86.1
,1997,12,83.1
,1998,1,85.1
,1998,2,84.9
,1998,3,81.8
,1998,4,78.0
,1998,5,87.4
,1998,6,87.6
,1998,7,87.3
,1998,8,87.7
,1998,9,83.5
,1998,10,87.2
,1998,11,86.9
,1998,12,86.2
,1999,1,86.9
,1999,2,80.4
,1999,3,82.6
,1999,4,84.5
,1999,5,85.1
,1999,6,88.1
,1999,7,89.3
,1999,8,85.5
,1999,9,84.6
,1999,10,87.3
,1999,11,85.7
,1999,12,81.8
,2000,1,83.8
,2000,2,84.4
,2000,3,82.8
,2000,4,85.7
,2000,5,86.5
,2000,6,87.3
,2000,7,85.1
,2000,8,88.0
,2000,9,85.7
,2000,10,85.9
,2000,11,84.8
,2000,12,81.5
,2001,1,84.9
,2001,2,82.1
,2001,3,79.2
,2001,4,86.7
,2001,5,84.2
,2001,6,80.4
,2001,7,83.5
,2001,8,83.5
,2001,9,82.1
,2001,10,83.6
,2001,11,76.6
,2001,12,78.4
,2002,1,79.3
,2002,2,78.9
,2002,3,78.0
,2002,4,86.8
,2002,5,82.6
,2002,6,80.6
,2002,7,83.1
,2002,8,83.9
,2002,9,84.8
,2002,10,84.8
,2002,11,84.3
,2002,12,80.9
,2003,1,83.2
,2003,2,83.9
,2003,3,85.6
,2003,4,85.3
,2003,5,87.3
,2003,6,79.7
,2003,7,80.3
,2003,8,80.6
,2003,9,84.2
,2003,10,79.0
,2003,11,85.7
,2003,12,81.5
,2004,1,80.9
,2004,2,77.7
,2004,3,80.9
,2004,4,80.2
,2004,5,79.7
,2004,6,83.7
,2004,7,84.9
,2004,8,86.3
,2004,9,86.6
,2004,10,86.0
,2004,11,81.6
,2004,12,79.2
,2005,1,83.7
,2005,2,75.9
,2005,3,82.1
,2005,4,81.7
,2005,5,88.3
,2005,6,86.4
,2005,7,87.3
,2005,8,86.5
,2005,9,84.7
,2005,10,86.4
,2005,11,85.3
,2005,12,75.7
,2006,1,82.5
,2006,2,85.7
,2006,3,76.3
,2006,4,83.9
,2006,5,81.2
,2006,6,83.1
,2006,7,81.9
,2006,8,81.7
,2006,9,84.9
,2006,10,88.7
,2006,11,83.3
,2006,12,84.3
,2007,1,72.5
,2007,2,78.6
,2007,3,81.2
,2007,4,81.8
,2007,5,86.7
,2007,6,79.8
,2007,7,78.7
,2007,8,83.6
,2007,9,83.4
,2007,10,90.1
,2007,11,81.6
,2007,12,86.6
,2008,1,85.2
,2008,2,83.3
,2008,3,75.1
,2008,4,78.3
,2008,5,82.6
,2008,6,79.2
,2008,7,79.3
,2008,8,82.3
,2008,9,83.6
,2008,10,87.8
,2008,11,89.4
,2008,12,85.6
,2009,1,82.5
,2009,2,85.1
,2009,3,86.2
,2009,4,89.5
,2009,5,84.5
,2009,6,81.5
,2009,7,83.2
,2009,8,85.1
,2009,9,85.9
,2009,10,87.2
,2009,11,88.1
,2009,12,80.8
,2010,1,80.9
,2010,2,85.8
,2010,3,96.4
,2010,4,98.8
,2010,5,86.4
,2010,6,86.4
,2010,7,86.0
,2010,8,83.1
,2010,9,87.5
,2010,10,90.1
,2010,11,78.0
,2010,12,80.3
,2011,1,90.1
,2011,2,88.9
,2011,3,85.4
,2011,4,91.0
,2011,5,95.1
,2011,6,82.4
,2011,7,81.0
,2011,8,80.8
,2011,9,80.5
,2011,10,82.4
,2011,11,86.6
,2011,12,80.3
,2012,1,83.4
,2012,2,91.9
,2012,3,85.8
,2012,4,77.9
,2012,5,92.9
,2012,6,89.7
,2012,7,88.2
,2012,8,82.9
,2012,9,89.6
,2012,10,87.7
,2012,11,92.3
,2012,12,84.3
,2013,1,75.9
,2013,2,83.3
,2013,3,74.2
,2013,4,81.4
,2013,5,81.1
,2013,6,81.0
,2013,7,78.3
,2013,8,80.4
,2013,9,75.6
,2013,10,85.7
,2013,11,83.9
,2013,12,80.0
,2014,1,84.0
,2014,2,82.2
,2014,3,83.5
,2014,4,87.7
,2014,5,86.7
,2014,6,87.6
,2014,7,89.5
,2014,8,89.6
,2014,9,89.8
,2014,10,91.1
,2014,11,92.9
,2014,12,90.6
,2015,1,86.7
,2015,2,88.5
,2015,3,93.9
,2015,4,86.8
,2015,5,93.8
,2015,6,95.8
,2015,7,93.3
,2015,8,85.6
,2015,9,88.2
,2015,10,92.9
,2015,11,83.6
,2015,12,87.3
,2016,1,82.5
,2016,2,84.1
,2016,3,87.9
,2016,4,87.2
,2016,5,92.0
,2016,6,91.7
,2016,7,82.8
,2016,8,81.6
,2016,9,77.5
,2016,10,82.7
,2016,11,77.9
,2016,12,80.7
,2017,1,79.1
,2017,2,74.1
,2017,3,87.5
,2017,4,83.7
,2017,5,84.8
,2017,6,82.8
,2017,7,80.4
,2017,8,82.6
,2017,9,79.5
,2017,10,82.1
,2017,11,82.7
,2017,12,74.0
,2018,1,82.8
,2018,2,89.1
,2018,3,84.5
,2018,4,89.6
,2018,5,93.0
,2018,6,89.1
,2018,7,86.9
,2018,8,88.4
,2018,9,90.4
,2018,10,95.4
,2018,11,96.6
,2018,12,96.4
,2019,1,87.5
,2019,2,94.8
,2019,3,88.2
,2019,4,96.9
,2019,5,85.8
,2019,6,87.6
,2019,7,85.1
,2019,8,87.4
,2019,9,84.9
,2019,10,89.6
,2019,11,85.3
,2019,12,84.1
,2020,1,85.8
,2020,2,80.6
,2020,3,86.1
,2020,4,85.5
,2020,5,86.4
,2020,6,86.2
,2020,7,86.7
,2020,8,84.4
,2020,9,85.5
,2020,10,81.5
,2020,11,88.8
,2020,12,83.5
,2021,1,74.9
,2021,2,64.2
,2021,3,70.9
,2021,4,74.9
,2021,5,71.5
,2021,6,75.2
,2021,7,75.5
,2021,8,73.8
,2021,9,74.0
,2021,10,76.7
,2021,11,75.1
,2021,12,66.8
